country,satisfaction,sex,age,immigrant,children,income_level,education,god_importance,praying_frequency,ethics_score,voter
IND,4,Female,20,Not immigrant,0,4,6,8,1,6.88,3
IND,6,Male,63,Not immigrant,3,5,3,10,1,6.48,1
IND,10,Male,17,Not immigrant,0,1,1,1,1,5.68,3
IND,5,Female,68,Not immigrant,4,7,0,10,1,4.0,3
IND,7,Male,55,Not immigrant,1,4,6,10,1,5.44,3
IND,6,Male,58,Not immigrant,2,2,4,10,1,6.4,3
IND,1,Female,30,Not immigrant,5,1,0,10,3,5.04,3
IND,5,Male,45,Not immigrant,0,2,1,4,1,0.24,1
IND,6,Female,17,Not immigrant,0,7,3,10,1,6.72,0
IND,7,Male,17,Not immigrant,0,2,0,9,1,3.68,0
IND,7,Male,62,Not immigrant,4,1,0,10,2,5.92,1
IND,4,Female,77,Not immigrant,3,3,1,10,1,2.8,1
IND,5,Male,58,Not immigrant,1,5,7,7,4,5.44,1
IND,7,Male,19,Not immigrant,0,1,6,10,2,5.6,3
IND,10,Male,49,Not immigrant,2,2,3,10,1,4.96,3
IND,6,Female,32,Not immigrant,5,4,2,10,1,4.56,3
IND,10,Female,53,Not immigrant,3,7,3,10,1,4.64,2
IND,10,Male,46,Not immigrant,0,1,3,10,3,5.2,3
IND,6,Male,31,Not immigrant,1,5,6,10,1,6.4,3
IND,2,Male,16,Not immigrant,0,7,3,6,3,6.71,0
IND,10,Female,25,Not immigrant,1,5,6,1,3,5.36,3
IND,8,Female,27,Not immigrant,1,8,3,9,3,1.28,2
IND,10,Male,20,Not immigrant,0,7,6,8,1,5.92,1
IND,8,Female,25,Not immigrant,0,4,7,8,1,4.96,1
IND,10,Female,21,Not immigrant,0,5,6,7,1,7.2,3
IND,10,Female,25,Not immigrant,2,3,1,10,1,6.16,1
IND,8,Male,52,Not immigrant,3,5,4,10,2,5.52,3
IND,10,Female,78,Not immigrant,1,3,7,10,2,5.44,3
IND,10,Male,52,Not immigrant,5,1,0,10,1,4.88,1
IND,8,Male,55,Not immigrant,0,8,3,10,1,0.48,3
IND,10,Female,28,Not immigrant,0,8,3,10,3,5.52,3
IND,8,Male,37,Not immigrant,3,4,0,4,3,5.8,1
IND,5,Female,49,Not immigrant,3,4,2,10,1,4.64,2
IND,5,Male,28,Not immigrant,0,8,7,6,2,7.28,3
IND,4,Female,17,Not immigrant,0,6,3,8,1,5.92,1
IND,8,Male,16,Not immigrant,0,7,3,1,4,5.6,0
IND,10,Male,16,Not immigrant,0,2,3,10,3,7.12,0
IND,8,Male,32,Not immigrant,1,6,4,10,1,2.96,3
IND,7,Female,17,Not immigrant,0,6,3,10,1,6.88,0
IND,8,Female,22,Not immigrant,3,4,3,8,2,5.12,1
IND,7,Male,30,Not immigrant,4,3,3,7,3,4.64,3
IND,3,Male,17,Not immigrant,0,2,6,2,1,5.6,1
IND,8,Male,51,Not immigrant,2,6,3,10,1,6.58,1
IND,10,Male,30,Not immigrant,0,1,6,10,1,6.4,3
IND,6,Male,28,Not immigrant,2,2,3,7,1,6.4,3
IND,1,Male,16,Not immigrant,0,2,4,3,3,5.68,2
IND,8,Female,30,Not immigrant,1,7,6,7,1,5.84,3
IND,5,Male,22,Not immigrant,0,2,6,10,3,2.24,2
IND,8,Male,25,Not immigrant,1,5,6,10,3,5.04,1
IND,8,Female,43,Not immigrant,2,3,3,7,1,5.04,1
IND,8,Female,31,Not immigrant,2,8,6,8,1,6.32,3
IND,8,Female,41,Not immigrant,2,7,7,10,1,6.96,3
IND,9,Male,50,Not immigrant,2,3,3,9,1,5.76,3
IND,7,Male,18,Not immigrant,0,7,6,10,3,5.44,0
IND,8,Male,57,Not immigrant,0,5,6,8,3,4.48,3
IND,10,Male,68,Not immigrant,3,5,3,9,1,5.44,3
IND,8,Male,30,Not immigrant,1,2,3,5,1,4.9,1
IND,10,Female,19,Not immigrant,0,7,3,10,1,6.0,0
IND,7,Female,32,Not immigrant,2,2,3,10,1,6.08,3
IND,10,Male,34,Not immigrant,1,6,3,9,4,5.36,3
IND,7,Male,54,Not immigrant,3,2,2,6,1,6.4,3
IND,10,Male,28,Not immigrant,1,8,6,9,2,6.16,3
IND,6,Male,36,Not immigrant,3,9,3,7,2,2.48,1
IND,7,Male,21,Not immigrant,0,6,6,8,2,5.76,0
IND,10,Male,53,Not immigrant,4,2,2,10,2,6.2,3
IND,6,Female,16,Not immigrant,0,5,3,8,1,5.98,0
IND,3,Male,51,Not immigrant,3,7,1,7,4,2.16,3
IND,10,Female,17,Not immigrant,0,10,3,7,4,0.16,1
IND,7,Male,47,Not immigrant,5,5,1,9,1,2.64,1
IND,8,Female,18,Not immigrant,5,2,1,10,1,4.96,3
IND,10,Male,31,Not immigrant,0,6,7,7,3,6.72,3
IND,8,Female,23,Not immigrant,3,8,3,9,1,5.12,3
IND,6,Male,16,Not immigrant,0,7,3,5,3,3.44,2
IND,6,Female,20,Not immigrant,0,6,6,10,1,7.2,2
IND,7,Female,57,Not immigrant,3,8,3,10,1,5.78,3
IND,5,Male,16,Not immigrant,0,6,3,10,1,6.24,3
IND,8,Female,23,Not immigrant,3,3,3,10,1,1.79,3
IND,10,Female,28,Not immigrant,2,5,3,10,3,6.16,3
IND,7,Female,27,Not immigrant,2,6,4,7,1,2.88,1
IND,8,Female,16,Not immigrant,0,8,3,10,4,4.64,0
IND,8,Male,44,Not immigrant,2,7,3,10,2,5.68,3
