country,satisfaction,sex,age,immigrant,children,income_level,education,god_importance,praying_frequency,ethics_score,voter_2
USA,6,Female,30,Not immigrant,0,4,7,1,4,8.82,1
USA,10,Female,76,Not immigrant,2,8,3,10,1,8.33,1
USA,7,Female,29,Not immigrant,1,7,6,10,2,8.2,1
USA,2,Female,32,Not immigrant,0,4,3,5,4,7.28,1
IND,7,Female,16,Not immigrant,0,2,3,10,1,6.59,0
USA,5,Male,57,Not immigrant,0,6,3,10,1,7.34,1
USA,9,Female,24,Not immigrant,1,5,3,10,1,7.09,1
USA,7,Female,30,Not immigrant,0,6,7,7,2,8.02,1
USA,7,Female,68,Not immigrant,2,7,3,10,1,6.53,0
IND,4,Female,56,Not immigrant,2,2,1,9,1,6.72,1
USA,7,Female,30,Not immigrant,12,4,4,5,1,4.92,0
IND,5,Male,32,Not immigrant,2,4,3,8,1,7.21,1
USA,8,Male,51,Not immigrant,7,7,3,10,4,6.72,1
USA,9,Female,60,Not immigrant,2,1,5,10,1,5.91,0
USA,7,Male,27,Not immigrant,0,5,4,10,2,7.59,0
USA,,Male,18,Not immigrant,0,,,,,,0
IND,10,Female,16,Not immigrant,0,5,3,10,1,7.21,0
USA,5,Female,20,Not immigrant,0,,,,2,8.14,0
USA,10,Female,28,Not immigrant,1,5,2,5,2,6.47,0
IND,6,Female,16,Not immigrant,0,,3,10,3,7.56,0
USA,2,Female,28,Not immigrant,3,3,3,10,4,7.52,1
IND,6,Male,22,Not immigrant,0,9,7,9,1,6.47,1
IND,7,Female,19,Not immigrant,0,6,2,7,3,6.41,0
USA,9,Male,64,Not immigrant,3,7,6,10,1,6.9,1
IND,4,Female,22,Not immigrant,4,10,3,9,1,4.74,1
IND,7,Male,30,Not immigrant,4,3,3,7,3,5.85,1
IND,10,Male,46,Not immigrant,3,10,3,9,3,6.72,1
USA,9,Female,38,Not immigrant,3,7,4,10,2,9.01,0
USA,8,Female,68,Immigrant,2,1,2,10,1,7.06,0
USA,8,Female,30,Not immigrant,3,5,2,5,1,4.98,0
IND,8,Female,32,Not immigrant,0,7,6,10,1,6.47,0
IND,7,Male,48,Not immigrant,2,6,2,7,2,6.28,1
USA,10,Male,77,Not immigrant,2,7,7,2,4,7.97,1
IND,7,Female,17,Not immigrant,0,5,3,7,3,7.02,0
IND,8,Male,22,Not immigrant,0,8,4,8,3,5.79,0
